Field	Red Robot	Yellow Robot	Ball
(363.00543212890625, 320.5671081542969)	(120.94339752197266, 196.23626708984375)	(229.0167236328125, 166.59629821777344)	(175.05514526367188, 33.57981491088867)
(363.2393798828125, 319.05377197265625)	(519.4359130859375, 174.3015899658203)	(210.4215545654297, 73.20454406738281)	(175.2849578857422, 30.779680252075195)
(363.151611328125, 317.63983154296875)	(179.60317993164062, 88.11550903320312)	(606.7454223632812, 71.9116439819336)	(171.4637451171875, 21.64375877380371)
(363.226318359375, 316.3694763183594)	(120.10589599609375, 191.53326416015625)	(229.45237731933594, 162.42453002929688)	(170.80206298828125, 23.602359771728516)
(363.1091613769531, 315.16583251953125)	(519.156982421875, 170.76043701171875)	(210.18527221679688, 71.38832092285156)	(169.94532775878906, 25.445459365844727)
(362.7445068359375, 314.1317443847656)	(178.28028869628906, 85.46575927734375)	(605.103271484375, 69.8446044921875)	(169.366455078125, 27.163318634033203)
(362.91021728515625, 313.9329528808594)	(119.34927368164062, 186.8095245361328)	(229.38821411132812, 160.21481323242188)	(168.41209411621094, 29.815919876098633)
(363.2142333984375, 313.30352783203125)	(519.0875244140625, 168.17031860351562)	(210.2118377685547, 69.88607788085938)	(168.66925048828125, 32.04218292236328)
(363.28912353515625, 313.12823486328125)	(178.51844787597656, 82.66763305664062)	(604.8150634765625, 68.36161804199219)	(168.81130981445312, 31.037124633789062)
(363.5925598144531, 312.8255310058594)	(118.77770233154297, 184.33255004882812)	(228.27061462402344, 157.75192260742188)	(168.6734619140625, 34.36192321777344)
(363.5244140625, 312.5670166015625)	(518.5181274414062, 165.42906188964844)	(209.15673828125, 67.71054077148438)	(168.34873962402344, 36.69878387451172)
(363.3817443847656, 312.0332946777344)	(179.70396423339844, 81.67537689208984)	(604.9775390625, 66.80410766601562)	(168.45700073242188, 39.3243408203125)
(363.31121826171875, 310.838134765625)	(118.55868530273438, 180.67698669433594)	(227.33853149414062, 154.02691650390625)	(168.04391479492188, 41.670833587646484)
(363.15948486328125, 310.18707275390625)	(517.9530029296875, 162.66139221191406)	(209.4296112060547, 68.19486999511719)	(168.2972412109375, 41.73131561279297)
(362.818115234375, 309.3662414550781)	(179.61688232421875, 79.51482391357422)	(605.4644165039062, 67.5765151977539)	(167.32484436035156, 43.335105895996094)
(362.69342041015625, 308.6745300292969)	(117.9631118774414, 178.01800537109375)	(226.90521240234375, 153.664306640625)	(166.80056762695312, 44.47312545776367)
(362.720703125, 308.18707275390625)	(516.986328125, 158.90626525878906)	(208.97738647460938, 66.04743194580078)	(166.4309539794922, 45.471797943115234)
(362.4967041015625, 307.97186279296875)	(179.16903686523438, 77.0489730834961)	(601.48681640625, 65.57981872558594)	(166.4416046142578, 46.36709213256836)
(362.9752197265625, 307.4870910644531)	(117.09477233886719, 174.25408935546875)	(226.76829528808594, 150.4747314453125)	(166.7521514892578, 47.19242477416992)
(362.77398681640625, 306.9595947265625)	(517.1636962890625, 159.01190185546875)	(210.11346435546875, 64.09664916992188)	(166.56228637695312, 47.952110290527344)
(363.37066650390625, 306.55474853515625)	(178.48158264160156, 77.47520446777344)	(599.7874755859375, 63.48685073852539)	(171.98243713378906, 48.37221908569336)
(364.2822265625, 305.7769470214844)	(116.74989318847656, 174.186767578125)	(227.19712829589844, 148.85057067871094)	(174.1830596923828, 48.749568939208984)
(365.16015625, 304.8688049316406)	(516.5264892578125, 156.4732208251953)	(208.27049255371094, 61.45192337036133)	(173.82733154296875, 48.933502197265625)
(367.0561828613281, 301.8369445800781)	(177.7941436767578, 75.31047058105469)	(597.2892456054688, 59.69104766845703)	(173.81716918945312, 49.19692611694336)
(367.64239501953125, 301.3108215332031)	(116.57113647460938, 171.95265197753906)	(226.9478302001953, 144.083984375)	(168.96246337890625, 49.784019470214844)
(366.97601318359375, 300.50335693359375)	(514.978271484375, 155.37664794921875)	(208.1875762939453, 58.30095672607422)	(167.04644775390625, 50.063072204589844)
(366.76141357421875, 299.0434875488281)	(177.8209991455078, 73.9817123413086)	(599.9239501953125, 56.12373352050781)	(166.36575317382812, 50.29409408569336)
(367.263916015625, 297.5144348144531)	(115.97502136230469, 169.49832153320312)	(226.6492462158203, 140.21588134765625)	(166.08140563964844, 50.42490005493164)
(367.44677734375, 297.1103210449219)	(513.8955078125, 151.59426879882812)	(208.1998291015625, 58.76614761352539)	(165.93453979492188, 50.45777893066406)
(367.46405029296875, 297.1803283691406)	(177.8955535888672, 71.83694458007812)	(601.1441650390625, 56.75541687011719)	(165.8490447998047, 50.610530853271484)
(367.1766357421875, 296.1192321777344)	(115.06917572021484, 159.80950927734375)	(226.82888793945312, 140.57669067382812)	(165.78152465820312, 50.52466583251953)
(367.17547607421875, 295.5843200683594)	(514.8311767578125, 148.17686462402344)	(207.05677795410156, 55.24966812133789)	(165.80712890625, 50.570045471191406)
(367.672119140625, 294.8526306152344)	(177.85177612304688, 67.73571014404297)	(598.0383911132812, 53.9765739440918)	(165.83575439453125, 50.32773971557617)
(367.9925537109375, 294.3675842285156)	(114.14358520507812, 153.96710205078125)	(226.48394775390625, 137.7886962890625)	(165.7498321533203, 50.196285247802734)
(368.0429992675781, 293.6561279296875)	(515.5179443359375, 148.57144165039062)	(207.89405822753906, 52.339813232421875)	(165.71090698242188, 50.134010314941406)
(368.0353088378906, 292.9789123535156)	(178.08212280273438, 67.9326171875)	(598.567138671875, 51.10879135131836)	(165.61941528320312, 50.232364654541016)
(368.1865234375, 291.77734375)	(113.94084167480469, 153.6503448486328)	(237.71890258789062, 134.48538208007812)	(165.79124450683594, 50.081939697265625)
(368.412109375, 290.4610290527344)	(513.8524169921875, 144.33999633789062)	(208.65870666503906, 50.728240966796875)	(165.782470703125, 49.951751708984375)
(370.048583984375, 286.67828369140625)	(177.16140747070312, 64.7418212890625)	(602.4306640625, 48.65827941894531)	(166.12046813964844, 50.05086135864258)
(370.7078857421875, 284.5703125)	(113.47225952148438, 149.5221710205078)	(234.0389404296875, 129.66761779785156)	(165.90882873535156, 49.595252990722656)
(370.64605712890625, 283.69482421875)	(512.5453491210938, 139.83840942382812)	(210.92726135253906, 47.2615966796875)	(165.86265563964844, 49.45743179321289)
(370.53033447265625, 282.87890625)	(176.18626403808594, 61.682369232177734)	(603.9217529296875, 46.74411392211914)	(165.9459991455078, 49.0753288269043)
(370.66217041015625, 282.1619873046875)	(113.09393310546875, 145.88528442382812)	(232.38967895507812, 125.45565032958984)	(165.8457794189453, 48.80636978149414)
(369.16925048828125, 283.36822509765625)	(511.9822082519531, 136.9528350830078)	(212.418212890625, 44.03313064575195)	(165.8286895751953, 48.68268585205078)
(370.4627685546875, 282.0693054199219)	(175.86819458007812, 60.090911865234375)	(231.5381622314453, 120.82477569580078)	(165.6429443359375, 48.20942687988281)
(370.92230224609375, 281.35455322265625)	(113.04828643798828, 140.27471923828125)	(212.28326416015625, 41.412086486816406)	(165.58193969726562, 47.82636642456055)
(371.271728515625, 280.563720703125)	(511.8480224609375, 134.38072204589844)	(231.2059326171875, 116.26799011230469)	(165.5989227294922, 47.529056549072266)
(371.4156799316406, 280.21435546875)	(175.90054321289062, 56.54448318481445)	(199.8242950439453, 41.879417419433594)	(165.52658081054688, 47.18852233886719)
(371.21380615234375, 280.20428466796875)	(113.13005065917969, 135.2301788330078)	(226.72499084472656, 111.62271881103516)	(165.41465759277344, 46.83332443237305)
(371.1498107910156, 278.9880065917969)	(513.5465087890625, 129.70474243164062)	(190.95571899414062, 40.6812629699707)	(165.44264221191406, 46.318565368652344)
(371.0716857910156, 277.7539978027344)	(174.69644165039062, 52.120906829833984)	(230.08741760253906, 107.12765502929688)	(165.42762756347656, 45.66841125488281)
(370.8419189453125, 276.7832336425781)	(112.91754150390625, 128.68263244628906)	(186.159912109375, 39.6064338684082)	(165.44656372070312, 45.251708984375)
(370.64520263671875, 275.9939880371094)	(514.03564453125, 126.99729919433594)	(230.8516082763672, 103.59112548828125)	(165.48402404785156, 44.972137451171875)
(370.8763122558594, 275.25115966796875)	(174.2449493408203, 49.617774963378906)	(184.85617065429688, 38.62972640991211)	(165.57032775878906, 44.78807067871094)
(371.43505859375, 274.56781005859375)	(112.67031860351562, 125.23788452148438)	(226.3267822265625, 101.4046401977539)	(165.7340850830078, 44.505126953125)
(372.27899169921875, 273.366943359375)	(513.650634765625, 121.65673065185547)	(178.5413055419922, 38.6068115234375)	(165.82684326171875, 44.05025100708008)
(371.2020263671875, 273.1108703613281)	(175.31431579589844, 45.44036102294922)	(199.9178924560547, 31.7701473236084)	(165.85467529296875, 43.87603759765625)
(372.45550537109375, 271.55059814453125)	(112.2968521118164, 120.3907699584961)	(224.71090698242188, 98.06095123291016)	(165.91989135742188, 43.636024475097656)
(372.75628662109375, 270.4028625488281)	(513.2447509765625, 118.18387603759766)	(176.3607635498047, 38.19596481323242)	(165.85784912109375, 43.33589553833008)
(371.32830810546875, 270.49127197265625)	(175.55165100097656, 42.288360595703125)	(209.50143432617188, 31.1434326171875)	(165.56419372558594, 43.26350021362305)
(372.16943359375, 269.207275390625)	(112.33238220214844, 116.5138168334961)	(225.54168701171875, 95.6786117553711)	(165.40142822265625, 43.07518005371094)
(372.71917724609375, 268.3656311035156)	(512.8863525390625, 116.18640899658203)	(214.63441467285156, 28.981416702270508)	(165.5006866455078, 42.92683029174805)
(373.0748291015625, 267.2052917480469)	(175.836181640625, 39.96016311645508)	(182.83656311035156, 35.84343719482422)	(165.3937225341797, 42.83513641357422)
(373.0224914550781, 265.9732360839844)	(112.47210693359375, 114.33753204345703)	(225.6032257080078, 93.19627380371094)	(165.60292053222656, 42.93708038330078)
(372.805419921875, 265.77642822265625)	(512.923095703125, 114.26840209960938)	(216.58331298828125, 26.783470153808594)	(165.98182678222656, 43.65092849731445)
(372.95123291015625, 264.1714172363281)	(175.84738159179688, 38.915740966796875)	(185.3043212890625, 35.42800521850586)	(167.597412109375, 44.86314010620117)
(372.5958251953125, 262.8295593261719)	(112.8718490600586, 111.82847595214844)	(228.1261749267578, 92.40516662597656)	(167.7430877685547, 45.51640319824219)
(371.6385498046875, 261.67626953125)	(513.2205810546875, 112.01261138916016)	(216.90444946289062, 25.458553314208984)	(168.35023498535156, 46.10390090942383)
(371.80010986328125, 261.3632507324219)	(176.0828857421875, 37.995338439941406)	(186.11767578125, 35.15946960449219)	(168.28671264648438, 45.84086608886719)
(372.5732116699219, 260.5721435546875)	(113.1831283569336, 109.41158294677734)	(223.37332153320312, 90.14154815673828)	(168.3390350341797, 45.4293212890625)
(372.88177490234375, 260.5250244140625)	(513.490478515625, 110.07787322998047)	(216.5860595703125, 24.56116485595703)	(168.28286743164062, 45.10245895385742)
(372.18426513671875, 259.0057373046875)	(176.1224365234375, 37.802085876464844)	(185.59500122070312, 35.11758041381836)	(168.27976989746094, 44.97676086425781)
(372.1606140136719, 258.1664123535156)	(112.98257446289062, 107.73461151123047)	(221.79537963867188, 87.89112854003906)	(168.573974609375, 44.521785736083984)
(372.0332946777344, 257.2259216308594)	(175.12957763671875, 34.807682037353516)	(215.8351593017578, 24.152103424072266)	(169.34588623046875, 43.80453109741211)
(372.005126953125, 256.4842529296875)	(513.682373046875, 108.31500244140625)	(184.8470001220703, 35.04987716674805)	(169.1432342529297, 44.16124725341797)
(372.0190124511719, 255.86471557617188)	(112.86981964111328, 105.77841186523438)	(221.57675170898438, 86.12405395507812)	(169.5108184814453, 44.22626495361328)
(370.8652038574219, 255.64495849609375)	(175.03810119628906, 35.96918487548828)	(215.4556427001953, 24.28689193725586)	(169.58038330078125, 44.35163879394531)
(371.2864074707031, 255.58314514160156)	(512.678466796875, 106.75244903564453)	(184.5310516357422, 35.43865966796875)	(169.46884155273438, 43.946510314941406)
(370.2286071777344, 255.30029296875)	(112.8647689819336, 104.00843048095703)	(221.63050842285156, 85.77830505371094)	(169.5000762939453, 43.75192642211914)
(369.74456787109375, 254.89678955078125)	(174.96975708007812, 35.8995475769043)	(225.96463012695312, 21.901294708251953)	(169.6906280517578, 43.464847564697266)
(369.18621826171875, 254.57618713378906)	(513.2853393554688, 105.0535659790039)	(184.71470642089844, 35.1382942199707)	(170.12384033203125, 43.231346130371094)
(368.88262939453125, 254.0310516357422)	(112.7904052734375, 102.23592376708984)	(221.62347412109375, 84.3178482055664)	(172.03419494628906, 43.157691955566406)
(369.4615478515625, 253.51217651367188)	(174.81085205078125, 35.92326736450195)	(229.3790283203125, 20.958005905151367)	(174.3043670654297, 43.26211166381836)
(369.2220764160156, 252.79798889160156)	(513.54052734375, 103.69082641601562)	(184.452880859375, 35.44014358520508)	(177.14820861816406, 43.403358459472656)
(368.6049499511719, 252.5931396484375)	(112.71360778808594, 100.55149841308594)	(221.48765563964844, 83.73899841308594)	(179.53404235839844, 43.34144973754883)
(368.3979187011719, 252.07582092285156)	(174.67942810058594, 35.67049026489258)	(231.94921875, 20.298664093017578)	(180.0637664794922, 42.92000961303711)
(368.63018798828125, 251.76754760742188)	(513.738525390625, 102.12838745117188)	(184.55833435058594, 35.76905822753906)	(179.98446655273438, 42.404197692871094)
(368.6106262207031, 251.53321838378906)	(112.5538558959961, 98.97900390625)	(221.58143615722656, 83.2869873046875)	(179.9015655517578, 41.832122802734375)
(368.34747314453125, 250.50863647460938)	(174.7064208984375, 35.9175910949707)	(232.27952575683594, 20.05083465576172)	(179.23646545410156, 41.38414764404297)
(367.6441650390625, 250.0121612548828)	(513.8718872070312, 102.20568084716797)	(184.5447540283203, 36.32160949707031)	(178.9234619140625, 41.028873443603516)
(367.66607666015625, 249.8109588623047)	(112.30189514160156, 98.91512298583984)	(221.5550079345703, 82.64935302734375)	(179.10653686523438, 40.791324615478516)
(368.5606689453125, 249.1360321044922)	(174.5947265625, 35.63943099975586)	(232.63973999023438, 19.332195281982422)	(179.31936645507812, 40.703277587890625)
(369.5793151855469, 247.99188232421875)	(513.549560546875, 100.18307495117188)	(183.72154235839844, 36.93437576293945)	(183.32542419433594, 40.40776824951172)
(369.744140625, 247.54457092285156)	(112.20230102539062, 97.2846908569336)	(221.77288818359375, 82.11329650878906)	(179.9763946533203, 40.08774948120117)
(369.57098388671875, 247.032958984375)	(174.65679931640625, 36.26600646972656)	(233.49774169921875, 19.39934539794922)	(178.43618774414062, 39.958961486816406)
(369.1249694824219, 246.88665771484375)	(513.1990356445312, 98.79069519042969)	(183.30551147460938, 37.64934158325195)	(177.96554565429688, 40.23836898803711)
(368.7447814941406, 246.5122528076172)	(111.8564224243164, 95.73336791992188)	(221.90333557128906, 81.74821472167969)	(177.86289978027344, 39.73805236816406)
(368.5043640136719, 246.0829315185547)	(174.68478393554688, 36.72621154785156)	(233.472900390625, 19.413917541503906)	(177.91693115234375, 39.612606048583984)
(368.4896240234375, 245.50819396972656)	(513.056640625, 97.94123840332031)	(183.19735717773438, 38.23151779174805)	(178.7459259033203, 39.44548416137695)
(368.3451843261719, 244.86546325683594)	(111.6776123046875, 94.72775268554688)	(222.1433563232422, 81.13557434082031)	(179.72633361816406, 39.43136978149414)
(368.35906982421875, 244.3894500732422)	(174.635986328125, 37.42515563964844)	(232.5244903564453, 19.373653411865234)	(183.83580017089844, 38.67615509033203)
